Cover Image,Secret Image,PSNR,MSE,NCC,SHA
airplane.tiff,splash.tiff,59.53415611135402,0.0723876953125,1.0,True
Barbara.tif,splash.tiff,61.20761326087703,0.0492401123046875,1.0,True
elaine.tiff,splash.tiff,61.149793371584416,0.049900054931640625,1.0,True
fishingboat.tiff,splash.tiff,60.74798647227944,0.054737091064453125,1.0,True
Goldhill.tif,splash.tiff,61.51282459572003,0.0458984375,1.0,True
house.tiff,splash.tiff,60.318651055660965,0.0604248046875,1.0,True
lena.tiff,splash.tiff,60.40253117082014,0.059268951416015625,1.0,True
peeper.tiff,splash.tiff,61.35440498104772,0.047603607177734375,1.0,True
sailboat.tiff,splash.tiff,61.061715497593084,0.050922393798828125,1.0,True
tank.tiff,splash.tiff,61.377085417701934,0.04735565185546875,1.0,True
